,Date__(UT)__HR:MN,DEC__(ICRF),APmag,S-brt,Illu%,hEcl-Lon,hEcl-Lat,r,rdot,delta,deldot,S-O-T,/r,S-T-O,GlxLon,GlxLat,RNG_3sigma,RNGRT_3sig,DOP_S_3sig,DOP_X_3sig,RT_delay_3sig,App_Lon_Sun,year,month,day,time,date,weekday,DEC__(ICRF),APmag,S-brt,Illu%,hEcl-Lon,hEcl-Lat,r,rdot,delta,deldot,S-O-T,/r,S-T-O,GlxLon,GlxLat,RNG_3sigma,RNGRT_3sig,DOP_S_3sig,DOP_X_3sig,RT_delay_3sig,App_Lon_Sun,DEC__(ICRF),APmag,S-brt,Illu%,hEcl-Lon,hEcl-Lat,r,rdot,delta,deldot,S-O-T,/r,S-T-O,GlxLon,GlxLat,RNG_3sigma,RNGRT_3sig,DOP_S_3sig,DOP_X_3sig,RT_delay_3sig,App_Lon_Sun,DEC__(ICRF),APmag,S-brt,Illu%,hEcl-Lon,hEcl-Lat,r,rdot,delta,deldot,S-O-T,/r,S-T-O,GlxLon,GlxLat,RNG_3sigma,RNGRT_3sig,DOP_S_3sig,DOP_X_3sig,RT_delay_3sig,App_Lon_Sun,DEC__(ICRF),APmag,S-brt,Illu%,hEcl-Lon,hEcl-Lat,r,rdot,delta,deldot,S-O-T,/r,S-T-O,GlxLon,GlxLat,RNG_3sigma,RNGRT_3sig,DOP_S_3sig,DOP_X_3sig,RT_delay_3sig,App_Lon_Sun,DEC__(ICRF),APmag,S-brt,Illu%,hEcl-Lon,hEcl-Lat,r,rdot,delta,deldot,S-O-T,/r,S-T-O,GlxLon,GlxLat,RNG_3sigma,RNGRT_3sig,DOP_S_3sig,DOP_X_3sig,RT_delay_3sig,App_Lon_Sun
0,2020-07-03 09:30:00,-214155.9,-2.734,5.382,99.95927,291.1292,-0.2401,5.159987872747,-0.6306858,4.16060797304154,-6.0943949,168.183,0,2.3184,18.267225,-20.332664,333.8982025,194124.69,-214152.5,0.3080193,258.8852,-21.47998,2020,7,3,9.5,2020-07-03,4,-14633.3,-0.657,4.229,84.4929,316.4958,-1.8454,1.388253925456,-0.7596341,0.80361458643365,-10.3514484,98.7156,0,46.382,102.778027,-63.241012,231.477651,1543.45,-14631.1,1.4726349,68.985042,-35.88962,182958.8,5.226,5.631,1.33305,286.0755,-5.9329,0.452241937284,-4.8428417,0.57120705295582,8.9263226,5.8581,0,166.7366,194.511165,4.654659,259.2124122,63410.12,183000.1,1.4191248,265.49431,42.33595,-44158.5,7.733,9.287,99.97482,348.8302,-1.0669,29.92994856266,-0.027844,29.5507949420849,-27.1885605,110.9773,0,1.8205,77.426636,-59.917501,303.1527327,232720.61,-44155.4,0.01415,239.42792,-79.46878,-202547.3,0.244,6.284,99.97538,297.8211,-0.1833,10.01313268708,-0.2232086,9.04118010591766,-8.9793372,162.0074,0,1.8033,21.966203,-25.488494,124.2353811,200720.07,-202543.3,0.1707549,256.46921,-25.6997,141642.6,5.862,8.291,99.94854,37.0676,-0.4639,19.79559471337,-0.2195512,20.2529969684862,-25.7622815,61.9686,0,2.5971,155.872179,-42.227304,49.5215966,22938.2,141639.7,0.083129,72.024281,-51.6936
1,2020-07-03 10:30:00,-214159.4,-2.734,5.382,99.95957,291.1327,-0.2402,5.159972694266,-0.6307735,4.16046156236212,-6.073784,168.2278,0,2.3097,18.264237,-20.328363,333.9014856,194123.39,-214156.0,0.3081208,258.88791,-21.40821,2020,7,3,10.5,2020-07-03,4,-14601.6,-0.647,4.24,84.49393,316.5221,-1.8454,1.388235656334,-0.7586588,0.80336551908469,-10.3498007,98.7307,0,46.3803,102.832454,-63.23965,231.5038407,1548.95,-14559.4,1.472285,68.986009,-35.90019,182952.0,5.211,5.631,1.35246,286.1982,-5.9408,0.452125173845,-4.8616476,0.57142287809614,9.0115324,5.8987,0,166.6399,194.502096,4.632834,259.3344033,63404.16,182953.3,1.4158125,265.57722,42.662958,-44159.0,7.733,9.287,99.97483,348.8304,-1.0669,29.92994789255,-0.0278435,29.5501407519554,-27.1811562,111.0172,0,1.8201,77.426178,-59.917465,303.1529569,232720.57,-44155.8,0.0142037,239.45722,-79.4271,-202549.7,0.244,6.284,99.97549,297.8224,-0.1834,10.01312731544,-0.2232145,9.04096426646371,-8.9590675,162.05,0,1.7992,21.964412,-25.486152,124.2365986,200719.36,-202545.6,0.1708203,256.47087,-25.64113,141644.1,5.862,8.291,99.9485,37.0681,-0.4639,19.79558942941,-0.2195605,20.2523769014797,-25.7714523,62.0069,0,2.598,155.873433,-42.226272,49.5220466,22938.53,141641.3,0.08306,72.025197,-51.72751
2,2020-07-03 11:30:00,-214202.9,-2.734,5.382,99.95987,291.1363,-0.2403,5.159957513507,-0.630875,4.16031564754243,-6.0531838,168.2726,0,2.3011,18.261247,-20.32406,333.904776,194122.09,-214159.5,0.3082223,258.89062,-21.33645,2020,7,3,11.5,2020-07-03,4,-14529.9,-0.633,4.254,84.49497,316.5483,-1.8454,1.388217410688,-0.7576832,0.80311649137139,-10.3481541,98.7458,0,46.3787,102.886863,-63.238268,231.5300312,1554.45,-14527.7,1.4719347,68.986979,-35.91077,182945.4,5.197,5.632,1.37219,286.321,-5.9488,0.452007958047,-4.8804411,0.57164075356419,9.0967383,5.9396,0,166.5424,194.493013,4.611074,259.4564573,63358.21,182946.7,1.4124615,265.66043,42.988547,-44159.4,7.733,9.287,99.97484,348.8307,-1.0669,29.92994722246,-0.0278429,29.5494867401543,-27.1737397,111.0571,0,1.8196,77.425717,-59.917428,303.1531811,232720.52,-44156.2,0.0142575,239.4863,-79.38541,-202552.1,0.243,6.284,99.97561,297.8236,-0.1834,10.01312194365,-0.2232211,9.04074891483537,-8.938794,162.0925,0,1.7951,21.962621,-25.48381,124.2378131,200718.65,-202548.0,0.1708855,256.47253,-25.58255,141645.7,5.862,8.291,99.94847,37.0685,-0.4639,19.79558414522,-0.2195703,20.2517566139028,-25.7806131,62.0452,0,2.5989,155.874687,-42.225241,49.5224974,22938.86,141642.8,0.0829909,72.026111,-51.76143
3,2020-07-03 12:30:00,-214206.5,-2.734,5.382,99.96018,291.1398,-0.2404,5.159942330156,-0.6309886,4.16017022834179,-6.0325928,168.3175,0,2.2924,18.258257,-20.319756,333.9080786,194120.79,-214203.1,0.3083236,258.89333,-21.26469,2020,7,3,12.5,2020-07-03,4,-14458.2,-0.626,4.263,84.49601,316.5745,-1.8455,1.38819918852,-0.7567075,0.80286750326835,-10.3465086,98.7609,0,46.3771,102.941253,-63.236867,231.5562224,1559.95,-14456.0,1.471584,68.987952,-35.92137,182938.9,5.182,5.632,1.39223,286.4438,-5.9567,0.451890290189,-4.8992221,0.57186067925661,9.1819397,5.9808,0,166.444,194.483918,4.589381,259.5785746,63352.28,182940.2,1.4090716,265.74395,43.312724,-44159.8,7.733,9.287,99.97486,348.8309,-1.0669,29.92994655238,-0.0278424,29.5488329069774,-27.1663108,111.097,0,1.8191,77.425255,-59.917392,303.1534051,232720.47,-44156.7,0.0143112,239.51516,-79.34371,-202554.4,0.243,6.284,99.97572,297.8249,-0.1835,10.0131165717,-0.2232284,9.04053405112736,-8.9185165,162.1351,0,1.791,21.960829,-25.481467,124.2390249,200717.94,-202550.4,0.1709506,256.47418,-25.52396,141647.2,5.862,8.291,99.94843,37.069,-0.4639,19.79557886079,-0.2195805,20.2511361059982,-25.7897637,62.0835,0,2.5999,155.875939,-42.224211,49.522949,22939.18,141644.4,0.0829219,72.027022,-51.79535
4,2020-07-03 13:30:00,-214210.0,-2.734,5.382,99.96048,291.1433,-0.2404,5.159927143943,-0.6311127,4.16002530455819,-6.0120093,168.3623,0,2.2838,18.255266,-20.31545,333.9113979,194119.48,-214206.6,0.3084248,258.89603,-21.19294,2020,7,3,13.5,2020-07-03,4,-14426.6,-0.604,4.285,84.49706,316.6007,-1.8455,1.388180989836,-0.7557316,0.80261855475018,-10.344864,98.7761,0,46.3754,102.995625,-63.235445,231.5824144,1605.44,-14424.3,1.471233,68.988929,-35.93198,182932.5,5.167,5.632,1.41258,286.5667,-5.9645,0.451772170573,-4.9179906,0.57208265505522,9.2671359,6.0223,0,166.3448,194.474811,4.567754,259.7007555,63346.36,182933.8,1.4056432,265.82777,43.635492,-44200.3,7.733,9.287,99.97487,348.8312,-1.0669,29.92994588231,-0.0278418,29.5481792527207,-27.1588696,111.137,0,1.8186,77.424792,-59.917355,303.153629,232720.42,-44157.1,0.0143649,239.5438,-79.302,-202556.8,0.243,6.283,99.97583,297.8262,-0.1835,10.01311119956,-0.2232364,9.04031967543441,-8.898235,162.1776,0,1.7869,21.959036,-25.479123,124.240234,200717.23,-202552.8,0.1710155,256.47584,-25.46537,141648.8,5.862,8.291,99.94839,37.0695,-0.4639,19.79557357611,-0.219591,20.2505153780102,-25.7989042,62.1219,0,2.6008,155.87719,-42.223182,49.5234014,22939.51,141645.9,0.0828528,72.027931,-51.82927
5,2020-07-03 14:30:00,-214213.5,-2.734,5.382,99.96078,291.1468,-0.2405,5.159911954641,-0.6312451,4.15988087603484,-5.9914313,168.4071,0,2.2751,18.252274,-20.311143,333.9147382,194118.18,-214210.1,0.308526,258.89874,-21.12118,2020,7,3,14.5,2020-07-03,4,-14354.9,-0.625,4.265,84.49811,316.6269,-1.8456,1.38816281464,-0.7547555,0.8023696457913,-10.3432206,98.7912,0,46.3737,103.049979,-63.234005,231.608607,1610.94,-14352.7,1.4708815,68.98991,-35.9426,182926.3,5.152,5.632,1.43324,286.6896,-5.9724,0.451653599505,-4.9367463,0.57230668082701,9.3523263,6.0641,0,166.2448,194.465692,4.546195,259.8230003,63340.46,182927.5,1.4021761,265.91192,43.956855,-44200.7,7.733,9.287,99.97488,348.8314,-1.0669,29.92994521226,-0.0278413,29.5475257776801,-27.1514161,111.1769,0,1.8181,77.424326,-59.917318,303.1538528,232720.37,-44157.5,0.0144186,239.57223,-79.26028,-202559.2,0.243,6.283,99.97594,297.8274,-0.1836,10.01310582722,-0.2232451,9.04010578785138,-8.8779496,162.2202,0,1.7828,21.957243,-25.476777,124.2414406,200716.52,-202555.2,0.1710804,256.47749,-25.40676,141650.3,5.862,8.291,99.94836,37.0699,-0.4639,19.79556829118,-0.2196018,20.2498944301842,-25.8080344,62.1602,0,2.6017,155.87844,-42.222153,49.5238548,22939.84,141647.5,0.0827837,72.028837,-51.8632
6,2020-07-03 15:30:00,-214217.0,-2.734,5.382,99.96107,291.1503,-0.2406,5.159896762077,-0.6313835,4.15973694266574,-5.9708566,168.452,0,2.2665,18.249282,-20.306834,333.9181036,194116.87,-214213.7,0.3086272,258.90145,-21.04939,2020,7,3,15.5,2020-07-03,4,-14323.3,-0.619,4.272,84.49916,316.6531,-1.8456,1.388144662935,-0.7537793,0.80212077636572,-10.3415783,98.8064,0,46.3721,103.104315,-63.232544,231.6348002,1616.43,-14321.0,1.4705298,68.990894,-35.95323,182920.2,5.137,5.631,1.45422,286.8127,-5.9802,0.451534577289,-4.9554893,0.57253275642417,9.4375103,6.1062,0,166.1441,194.456561,4.524703,259.9453092,63334.57,182921.5,1.3986707,265.99639,44.276818,-44201.2,7.733,9.287,99.9749,348.8317,-1.0669,29.92994454222,-0.0278407,29.5468724821515,-27.1439504,111.2168,0,1.8176,77.423859,-59.917281,303.1540764,232720.32,-44158.0,0.0144723,239.60044,-79.21855,-202601.6,0.243,6.283,99.97605,297.8287,-0.1837,10.01310045467,-0.2232544,9.03989238847342,-8.8576603,162.2627,0,1.7787,21.955449,-25.474431,124.242645,200715.81,-202557.5,0.171145,256.47915,-25.34815,141651.8,5.862,8.291,99.94832,37.0704,-0.4639,19.79556300598,-0.2196128,20.2492732627675,-25.8171544,62.1985,0,2.6026,155.87969,-42.221126,49.5243091,22940.16,141649.0,0.0827145,72.029741,-51.89713
7,2020-09-07 09:30:00,-224446.7,-2.51,5.415,99.30704,296.7231,-0.3639,5.136108217156,-0.6212112,4.52748312110443,22.4179205,122.2397,1,9.5472,14.739439,-15.036268,339.493375,191441.34,-224445.4,0.0451333,259.75659,83.71241,2020,9,7,9.5,2020-09-07,0,64309.2,-1.882,4.271,93.45129,358.2499,-1.4413,1.390127227811,0.8524786,0.47163103399352,-6.0688797,136.9528,0,29.6585,147.5483,-53.356574,273.215827,14925.5,64315.5,0.0926903,62.545366,-85.02368,-4350.1,-0.391,2.776,87.15914,224.2381,0.4992,0.447689191115,5.5202759,1.29473817621388,-14.4128035,17.2969,1,42.0022,280.836977,60.286285,197.0844426,120827.22,-4342.4,3.9696865,117.88025,-13.0659,-51345.5,7.687,9.287,99.99982,349.2294,-1.0767,29.92887148926,-0.0279315,28.9243498240271,-1.8721671,175.4111,0,0.1605,75.010453,-59.570937,303.5578229,232243.54,-51337.5,0.068707,246.46344,-4.461926,-212015.4,0.366,6.336,99.85324,299.8269,-0.27,10.00423391117,-0.2413812,9.3205072317276,21.804265,130.5043,1,4.3875,19.410444,-22.016942,126.2392182,194950.42,-212013.1,0.086236,257.65247,65.982105,142542.8,5.744,8.29,99.95616,37.7945,-0.4561,19.78717419007,-0.2222288,19.1955829131648,-23.9800408,124.7353,0,2.4027,156.363618,-41.839214,50.2487106,23144.71,142546.6,0.0456894,251.13077,-66.15054
8,2020-09-07 10:30:00,-224447.1,-2.51,5.415,99.30642,296.7267,-0.364,5.136093268232,-0.621284,4.52802272786211,22.4283393,122.1985,1,9.5515,14.739007,-15.035641,339.4969843,191441.15,-224445.9,0.0448037,259.73891,83.760103,2020,9,7,10.5,2020-09-07,0,64311.7,-1.868,4.286,93.46182,358.276,-1.4407,1.3901477542,0.8534336,0.47148506433109,-6.0631993,136.9915,0,29.6341,147.549971,-53.355406,273.2419444,14925.83,64318.0,0.0912153,62.352983,-85.09942,-4541.5,-0.389,2.778,87.12535,224.362,0.484,0.447821819866,5.5019571,1.29439098313375,-14.4401897,17.3224,1,42.06,280.968985,60.27664,197.2091997,120841.26,-4533.7,3.9676787,117.88461,-13.09964,-51347.2,7.687,9.287,99.99982,349.2297,-1.0767,29.92887081713,-0.0279286,28.9243050281626,-1.8508132,175.4514,0,0.1591,75.008303,-59.570582,303.5580937,232243.29,-51339.2,0.068712,246.46455,-4.410982,-212016.5,0.366,6.336,99.85306,299.8281,-0.2701,10.00422810263,-0.2414015,9.32103210724748,21.8179626,130.4625,1,4.3902,19.409577,-22.015749,126.2403981,194950.05,-212014.2,0.0860853,257.65067,66.031508,142541.9,5.744,8.29,99.95621,37.795,-0.4561,19.78716884177,-0.2222332,19.1950059891784,-23.9680742,124.7765,0,2.4015,156.362955,-41.83979,50.2491672,23144.53,142545.7,0.0457666,251.1322,-66.10481
9,2020-09-07 11:30:00,-224447.6,-2.509,5.415,99.3058,296.7302,-0.364,5.136078317688,-0.6213456,4.52856258535636,22.4387591,122.1573,1,9.5558,14.738578,-15.035019,339.5006179,191440.96,-224446.4,0.0444742,259.72096,83.807749,2020,9,7,11.5,2020-09-07,0,64314.3,-1.896,4.259,93.47236,358.3021,-1.4402,1.390168303567,0.8543883,0.47133923144802,-6.0575111,137.0302,0,29.6097,147.551608,-53.354254,273.2680611,14926.15,64320.6,0.0897407,62.154103,-85.17525,-4732.8,-0.388,2.78,87.09155,224.4857,0.4689,0.447954007593,5.4836232,1.29404313126722,-14.4675472,17.3478,1,42.1178,281.100846,60.266862,197.3338831,120855.28,-4725.1,3.9656714,117.88893,-13.13341,-51348.8,7.687,9.287,99.99982,349.2299,-1.0767,29.92887014507,-0.0279258,28.9242607461987,-1.8294569,175.4917,0,0.1577,75.006154,-59.570228,303.5583645,232243.03,-51340.8,0.0687171,246.46565,-4.360035,-212017.6,0.366,6.336,99.85287,299.8294,-0.2702,10.0042222936,-0.2414222,9.32155731225456,21.8316485,130.4206,1,4.3929,19.408711,-22.014557,126.2415769,194949.69,-212015.3,0.0859345,257.64886,66.080897,142541.0,5.744,8.29,99.95625,37.7954,-0.4561,19.78716349335,-0.2222376,19.1944293533176,-23.9560946,124.8177,0,2.4003,156.36229,-41.840367,50.2496244,23144.36,142544.8,0.0458437,251.13363,-66.05907
10,2020-09-07 12:30:00,-224448.1,-2.509,5.415,99.30517,296.7338,-0.3641,5.136063365815,-0.6213943,4.52910269362857,22.4491812,122.1161,1,9.5601,14.738152,-15.034402,339.5042741,191440.77,-224446.9,0.0441449,259.70272,83.855355,2020,9,7,12.5,2020-09-07,0,64316.8,-1.894,4.262,93.4829,358.3283,-1.4397,1.390188875907,0.8553428,0.47119353553032,-6.0518152,137.069,0,29.5852,147.553211,-53.353118,273.2941771,14926.47,64323.1,0.0882667,61.948403,-85.25114,-4924.1,-0.386,2.781,87.05774,224.6093,0.4537,0.448085753931,5.4652741,1.29369462130546,-14.494876,17.3732,1,42.1755,281.232559,60.256953,197.4584929,120909.3,-4916.4,3.9636648,117.89321,-13.16719,-51350.4,7.687,9.287,99.99983,349.2302,-1.0767,29.92886947308,-0.0279229,28.9242169781928,-1.8080982,175.5319,0,0.1564,75.004004,-59.569873,303.5586351,232242.78,-51342.5,0.0687221,246.46676,-4.309086,-212018.7,0.366,6.337,99.85269,299.8307,-0.2702,10.00421648406,-0.2414432,9.32208284646653,21.8453226,130.3787,1,4.3956,19.407847,-22.013368,126.2427546,194949.33,-212016.4,0.0857837,257.64704,66.130272,142540.1,5.744,8.29,99.9563,37.7959,-0.4561,19.78715814483,-0.222242,19.1938530058979,-23.9441019,124.8589,0,2.3991,156.361625,-41.840945,50.2500821,23144.18,142543.9,0.0459208,251.13505,-66.01332
11,2020-09-07 13:30:00,-224448.6,-2.509,5.415,99.30455,296.7373,-0.3642,5.136048412942,-0.6214284,4.52964305274936,22.459607,122.075,1,9.5644,14.737728,-15.03379,339.5079511,191440.58,-224447.3,0.0438156,259.68419,83.902926,2020,9,7,13.5,2020-09-07,0,64319.3,-1.883,4.274,93.49344,358.3544,-1.4391,1.390209471215,0.8562972,0.47104797676463,-6.0461115,137.1077,0,29.5608,147.554782,-53.351996,273.3202923,14926.78,64325.6,0.0867934,61.735538,-85.32711,-5115.4,-0.384,2.783,87.0239,224.7329,0.4386,0.448217058516,5.4469099,1.29334545393507,-14.5221764,17.3986,1,42.2333,281.364123,60.246913,197.5830296,120923.31,-5107.6,3.9616586,117.89745,-13.20099,-51352.1,7.687,9.287,99.99983,349.2304,-1.0767,29.92886880116,-0.02792,28.9241737242023,-1.7867371,175.5722,0,0.155,75.001855,-59.569519,303.5589057,232242.53,-51344.1,0.068727,246.46786,-4.258134,-212019.7,0.367,6.337,99.85251,299.8319,-0.2703,10.00421067402,-0.2414646,9.32260870960086,21.858985,130.3368,1,4.3983,19.406984,-22.012181,126.2439311,194948.97,-212017.5,0.0856327,257.64521,66.179632,142539.2,5.744,8.29,99.95634,37.7964,-0.4561,19.78715279621,-0.2222464,19.1932769472359,-23.932096,124.9001,0,2.3978,156.360958,-41.841523,50.2505403,23144.0,142543.0,0.0459979,251.13647,-65.96756
12,2020-09-07 14:30:00,-224449.0,-2.508,5.415,99.30393,296.7409,-0.3643,5.136033459437,-0.6214467,4.53018366282127,22.4700375,122.0338,1,9.5686,14.737308,-15.033182,339.5116459,191440.39,-224447.8,0.0434864,259.66536,83.95047,2020,9,7,14.5,2020-09-07,0,64321.7,-1.876,4.281,93.50399,358.3805,-1.4386,1.390230089486,0.8572513,0.47090255533788,-6.0404001,137.1465,0,29.5363,147.556318,-53.35089,273.3464068,14927.09,64328.0,0.0853208,61.515137,-85.40314,-5306.6,-0.383,2.785,86.99006,224.8564,0.4234,0.448347920988,5.4285308,1.29299562983801,-14.5494485,17.4239,1,42.2909,281.495538,60.236742,197.7074934,120937.31,-5258.9,3.9596531,117.90166,-13.23482,-51353.7,7.687,9.287,99.99983,349.2307,-1.0767,29.92886812931,-0.0279171,28.9241309842846,-1.7653737,175.6124,0,0.1537,74.999705,-59.569164,303.5591762,232242.27,-51345.8,0.0687319,246.46896,-4.207179,-212020.8,0.367,6.337,99.85233,299.8332,-0.2703,10.00420486345,-0.2414864,9.32313490137472,21.8726357,130.295,1,4.401,19.406123,-22.010995,126.2451065,194948.61,-212018.5,0.0854817,257.64336,66.228978,142538.3,5.744,8.29,99.95639,37.7968,-0.4561,19.78714744748,-0.2222507,19.1927011776495,-23.9200768,124.9413,0,2.3966,156.36029,-41.842103,50.2509992,23143.82,142542.2,0.046075,251.13789,-65.92179
13,2020-09-07 15:30:00,-224449.5,-2.508,5.415,99.30331,296.7444,-0.3644,5.136018505693,-0.6214483,4.53072452395922,22.4804728,121.9926,1,9.5729,14.736891,-15.032579,339.5153557,191440.2,-224448.3,0.0431572,259.64621,83.997992,2020,9,7,15.5,2020-09-07,0,64324.1,-1.889,4.269,93.51453,358.4066,-1.4381,1.390250730716,0.8582052,0.47075727143714,-6.0346809,137.1853,0,29.5117,147.557822,-53.3498,273.3725205,14927.39,64330.5,0.083849,61.286808,-85.47923,-5457.8,-0.381,2.787,86.9562,224.9799,0.4083,0.448478340987,5.4101369,1.29264514969161,-14.5766926,17.4492,1,42.3486,281.626803,60.226441,197.8318846,120951.31,-5450.0,3.957648,117.90583,-13.26866,-51355.4,7.687,9.287,99.99984,349.2309,-1.0768,29.92886745753,-0.0279142,28.9240887584967,-1.7440078,175.6526,0,0.1523,74.997555,-59.568809,303.5594467,232242.02,-51347.4,0.0687368,246.47006,-4.156223,-212021.9,0.367,6.337,99.85215,299.8345,-0.2704,10.00419905235,-0.2415087,9.32366142150518,21.8862746,130.2531,1,4.4037,19.405263,-22.009812,126.2462809,194948.25,-212019.6,0.0853307,257.64151,66.27831,142537.4,5.744,8.29,99.95643,37.7973,-0.4561,19.78714209865,-0.2222548,19.1921256974579,-23.9080444,124.9825,0,2.3954,156.359621,-41.842684,50.2514586,23143.64,142541.3,0.046152,251.13931,-65.87601
14,2020-11-26 09:30:00,-213513.4,-2.041,5.394,99.4388,303.5726,-0.5106,5.107909296864,-0.6006865,5.67590392454867,20.554248,50.6777,1,8.5962,18.989748,-21.714646,346.3451852,194800.73,-213515.9,0.4724766,79.67438,32.374919,2020,11,26,9.5,2020-11-26,3,60208.3,-1.211,4.385,93.18967,46.1913,-0.1065,1.463776319226,2.1264539,0.60879958146398,12.0019832,131.6376,1,30.251,126.415211,-56.782774,321.1706704,5906.6,60213.5,0.4052865,50.749579,76.044694,-170111.8,-0.773,2.427,92.14006,198.779,3.4646,0.414791871827,8.6130867,1.31086968368167,23.6500344,13.0722,0,32.5573,345.691039,33.54183,171.4539134,151634.3,-170106.7,3.8742742,109.25728,21.06388,-54809.2,7.743,9.286,99.97434,349.7135,-1.0885,29.92753330629,-0.02979,29.6806083014976,29.1907887,103.5775,1,1.8345,72.240631,-59.049524,304.0230053,231707.76,-54807.7,0.0038207,265.17339,87.311392,-205758.5,0.656,6.359,99.84268,302.2629,-0.3749,9.992540847278,-0.2626321,10.5492753588584,23.0410204,53.4145,1,4.5498,20.679069,-23.968818,128.6764096,195927.95,-205801.1,0.2148638,78.990501,40.059897,133159.9,5.709,8.291,99.98726,38.6766,-0.4465,19.7768277029,-0.2254709,18.8919294929177,13.569272,153.0858,1,1.2883,153.787867,-43.919756,51.1306209,22046.18,133205.8,0.0883277,251.62423,33.925979
15,2020-11-26 10:30:00,-213508.4,-2.041,5.394,99.43935,303.5762,-0.5107,5.107894843516,-0.6006094,5.67639843437478,20.5440769,50.6434,1,8.5919,18.994232,-21.721326,346.3489531,194802.73,-213510.9,0.4726358,79.671419,32.351105,2020,11,26,10.5,2020-11-26,3,60223.7,-1.225,4.369,93.18217,46.2148,-0.1057,1.463827493064,2.1267704,0.60908848833955,12.0081823,131.602,1,30.2681,126.424328,-56.778217,321.194224,5907.86,60228.9,0.4063822,50.811546,76.009011,-170228.8,-0.773,2.427,92.17783,198.9237,3.4492,0.414998966503,8.5998861,1.31143807044606,23.5934023,13.0496,0,32.4768,345.731447,33.486746,171.5991874,151649.59,-170223.6,3.8748041,109.23897,21.006898,-54809.2,7.743,9.286,99.97433,349.7137,-1.0885,29.92753258944,-0.0297934,29.6813108245738,29.1958092,103.5353,1,1.8348,72.240528,-59.049483,304.0232091,231707.75,-54807.7,0.0037644,265.45944,87.351357,-205756.1,0.656,6.359,99.84284,302.2641,-0.375,9.992534527347,-0.2626573,10.5498296920557,23.0294182,53.3759,1,4.5475,20.681159,-23.971845,128.6775859,195928.85,-205758.7,0.2149783,78.989001,40.029155,133158.3,5.709,8.291,99.98722,38.677,-0.4465,19.77682227721,-0.2254782,18.8922562707011,13.5891693,153.0422,1,1.2903,153.786458,-43.920824,51.13107,22045.83,133204.2,0.088281,251.62459,33.978457
16,2020-11-26 11:30:00,-213503.3,-2.041,5.394,99.43991,303.5798,-0.5107,5.10788039225,-0.6005135,5.6768926995726,20.5339171,50.6091,1,8.5876,18.998718,-21.728009,346.3527177,194804.73,-213505.9,0.4727951,79.668458,32.327311,2020,11,26,11.5,2020-11-26,3,60239.1,-1.222,4.371,93.17467,46.2384,-0.105,1.463878674514,2.1270866,0.60937754433568,12.0143757,131.5663,1,30.2851,126.433476,-56.773653,321.217776,5909.13,60244.3,0.4074774,50.873139,75.973348,-170345.7,-0.773,2.426,92.21546,199.0683,3.4337,0.41520574307,8.5866434,1.31200509534904,23.5368279,13.027,0,32.3964,345.771808,33.431641,171.7443168,151704.89,-170340.6,3.8753285,109.22062,20.950029,-54809.2,7.743,9.286,99.97432,349.714,-1.0886,29.9275318725,-0.0297968,29.6820134682829,29.2008145,103.4931,1,1.8351,72.240427,-59.049442,304.0234129,231707.73,-54807.7,0.0037082,265.75417,87.391248,-205753.6,0.656,6.359,99.843,302.2654,-0.375,9.992528206806,-0.2626828,10.5503837459347,23.0178064,53.3374,1,4.5452,20.683251,-23.974873,128.6787625,195929.75,-205756.2,0.2150928,78.987501,39.998419,133156.6,5.709,8.291,99.98718,38.6775,-0.4465,19.77681685134,-0.2254859,18.8925835272022,13.6090581,152.9986,1,1.2922,153.785049,-43.921891,51.1315195,22045.49,133202.5,0.0882343,251.62496,34.030927
17,2020-11-26 12:30:00,-213458.3,-2.041,5.394,99.44047,303.5834,-0.5108,5.107865943503,-0.6004003,5.67738672039424,20.5237668,50.5748,1,8.5834,19.003206,-21.734693,346.356476,194806.73,-213500.8,0.4729545,79.665497,32.303532,2020,11,26,12.5,2020-11-26,3,60254.6,-1.208,4.384,93.16718,46.2619,-0.1042,1.463929863566,2.1274024,0.60966674931482,12.0205634,131.5307,1,30.3021,126.442655,-56.76908,321.2413263,5910.4,60259.7,0.408572,50.934363,75.937706,-170502.6,-0.773,2.426,92.25293,199.2127,3.4183,0.41541220052,8.5733589,1.31257075977988,23.4803112,13.0044,0,32.3162,345.812124,33.376515,171.8893021,151720.19,-170457.4,3.8758475,109.20222,20.893273,-54809.2,7.743,9.286,99.97431,349.7142,-1.0886,29.92753115549,-0.0298002,29.6827162322603,29.2058047,103.4509,1,1.8354,72.240328,-59.049401,304.0236166,231707.72,-54807.8,0.0036521,266.05799,87.43106,-205751.2,0.657,6.359,99.84316,302.2667,-0.3751,9.992521885647,-0.2627086,10.5509375202671,23.0061852,53.2988,1,4.5429,20.685343,-23.977903,128.6799394,195930.66,-205753.8,0.2152072,78.986001,39.96769,133154.9,5.709,8.291,99.98715,38.678,-0.4465,19.77681142528,-0.2254941,18.8929112622156,13.6289384,152.9549,1,1.2941,153.78364,-43.922958,51.1319694,22045.14,133200.8,0.0881875,251.62532,34.083389
